Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,203,143,39,487,"40,54","2,956%","33,38267","7,46","4,75","228,7"
user_info_2 ,197,139,37,241,"22,88","2,538%","33,32769","14,02","7,80","430,9"
user_info_3,191,140,16,1142,"77,95","5,236%","32,97652","11,98","7,51","372,1"
object_info_1,181,139,8,228,"24,11","3,315%","31,92803","8,87","4,91","284,5"
object_info_2,175,144,67,495,"33,35","3,429%","31,55427","13,94","4,88","452,5"
object_info_3,169,148,18,1190,"83,70","2,959%","31,11766","11,95","4,84","393,3"
object_info_4,164,140,22,185,"23,95","6,707%","31,64191","10,96","4,73","354,7"
TOTAL,1280,142,8,1190,"49,90","3,828%","210,49170","73,50","36,86","357,6"
